Country,Month,Humidity
Mauritius,August,89.29
Mauritius,June,89.02
Mauritius,July,87.78
Mauritius,July,87.2
Mauritius,June,86.16
Mauritius,August,85.8
Mauritius,August,85.1
Mauritius,August,84.51
Mauritius,August,84.51
Mauritius,May,83.03
Mauritius,May,83.03
Mauritius,May,82.91
Mauritius,June,80.91
Mauritius,August,78.63
Mauritius,August,78.28
Mauritius,May,78.0
Mauritius,May,77.18
Mauritius,August,76.7
Mauritius,July,76.48
Mauritius,May,76.23
Mauritius,May,76.23
Mauritius,June,75.79
Mauritius,August,75.72
Mauritius,May,74.85
Mauritius,July,74.04
Mauritius,May,73.59
Mauritius,June,72.52
Mauritius,May,72.21
Mauritius,July,71.96
Mauritius,June,71.59
Mauritius,August,70.13
Mauritius,May,68.89
Mauritius,August,68.82
Mauritius,August,66.64
Mauritius,August,66.64
Mauritius,May,65.71
Mauritius,May,65.59
Mauritius,July,64.73
Mauritius,May,64.11
Mauritius,May,63.36
Mauritius,May,63.27
Mauritius,May,63.27
Mauritius,June,63.04
Mauritius,July,62.96
Mauritius,May,62.73
Mauritius,July,61.99
Mauritius,July,61.76
Mauritius,May,58.15
Mauritius,June,58.03
Mauritius,June,58.03
Mauritius,June,57.93
Mauritius,May,57.83
Mauritius,August,57.33
Mauritius,August,57.33
Mauritius,June,57.2
Mauritius,May,57.18
Mauritius,July,56.4
Mauritius,June,54.34
Mauritius,August,54.26
Mauritius,August,51.56
Mauritius,June,51.39
Mauritius,May,49.9
Mauritius,May,49.9
Mauritius,July,49.86
Mauritius,July,49.31
Mauritius,August,48.97
Mauritius,May,48.24
Mauritius,July,48.2
Mauritius,May,46.96
Mauritius,May,46.96
Mauritius,May,46.96
Mauritius,May,46.79
Mauritius,August,46.63
Mauritius,July,45.36
Mauritius,June,44.71
Mauritius,August,43.02
Mauritius,August,43.02
Mauritius,July,42.19
Mauritius,July,41.31
Mauritius,August,41.28
Mauritius,May,40.73
Mauritius,June,39.94
Mauritius,May,39.39
Mauritius,May,39.39
Mauritius,August,38.49
Mauritius,August,36.52
Mauritius,August,36.52
Mauritius,August,35.58
Mauritius,June,34.83
Mauritius,June,33.8
Mauritius,June,33.8
Mauritius,June,29.66
Mauritius,June,28.57
Mauritius,May,26.82
Mauritius,May,26.82
Mauritius,June,25.23
Mauritius,July,24.4
Mauritius,May,24.18
Mauritius,August,21.67
Mauritius,May,19.24
Mauritius,June,17.27
Mauritius,June,17.27
Mauritius,July,15.28
Mauritius,July,15.28
Mauritius,July,12.81
Mauritius,July,11.8
